person,gain,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
3,1.7999999999999998,6.059010791476934,0.5216666666666666,0.00035311750773561415,0.9673837364667631,0.5079172050962654,0.11691666666666667,0.0,6.960708510430561,0.0,0.0,0
3,1.9500000000000002,27.16771614914407,0.5216666666666666,0.0006042656542413386,0.9647134941255457,0.5021954134139889,0.11820833333333333,0.0,29.223259069254027,0.0,0.0,0
3,2.1,57.89038960291342,0.5216666666666666,0.0009418488785486367,0.9640886791634837,0.4963289520234666,0.11920833333333333,0.0,61.13840141108842,0.0,0.0,0
3,2.25,90.3881262539354,0.5216666666666666,0.0013020534450362523,0.9677540887929261,0.4898209570843447,0.35575,0.0,94.76021158808621,0.0,0.0,0
3,2.4,119.91772894159595,0.5216666666666666,0.0016574771877700372,0.9680948621489143,0.4838502836272119,0.8612083333333334,0.0,125.27594467543531,0.0,0.0,0
4,0.9,123.95606074991343,0.47833333333333333,0.0012286278194048334,0.9830699490289468,0.5281942287090134,0.0,0.0,118.6960862806339,0.0,0.0,0
4,1.05,82.20348204355159,0.47833333333333333,0.0008416373502961632,0.9812456528837961,0.5292656764694942,0.0,0.0,78.1263048873981,0.0,0.0,0
4,1.2,51.458531549269665,0.47833333333333333,0.0005866701679959272,0.9768936476421177,0.5290254126985695,0.0,0.0,48.454522953840105,0.0,0.0,0
4,1.35,26.477228661189773,0.47833333333333333,0.0004049082362715068,0.9736850867808218,0.5271671466593159,0.0,0.0,24.528586472622813,0.0,0.0,0
4,1.5,7.873636135723614,0.47833333333333333,0.00029245927847792086,0.9685274879335706,0.5237443926451442,0.0,0.0,6.956466861522353,0.0,0.0,0
4,1.65,0.5772169034306581,0.8183333333333334,0.00027910237402199294,0.9620044719907762,0.5193103714958588,0.0638125,0.0,0.6208825678105262,0.0,0.0,0
4,1.7999999999999998,10.286193255652385,0.5216666666666666,0.0004003104413284298,0.9558250066348383,0.5146258830278381,0.11666666666666667,0.0,11.25526733687034,0.0,0.0,0
4,1.9500000000000002,36.976393145740595,0.5216666666666666,0.000650760791831894,0.9490772620948449,0.5102355912780422,0.11797916666666666,0.0,38.96414421597935,0.0,0.0,0
4,2.1,73.39586135684922,0.5216666666666666,0.000973835074775291,0.9397284735774635,0.5067727034308545,0.119375,0.0,76.51494520065786,0.0,0.0,0
4,2.25,111.20215449744447,0.5216666666666666,0.001310148210796156,0.9315877176608415,0.5055990322707354,0.3808958333333333,0.0,115.44700097842308,0.0,0.0,0
4,2.4,145.40402718947783,0.5216666666666666,0.001635828684737316,0.9172421287570001,0.5051410200787886,0.8635,0.0,150.7003152861374,0.0,0.0,0
5,0.9,13.82891382287149,0.47833333333333333,0.0003864699364006549,0.9820140493649093,0.5306615785354433,0.0,0.0,12.020089325789163,0.0,0.0,0
5,1.05,5.99815330697477,0.47833333333333333,0.0002612327212712811,0.9789237780873556,0.533182297858736,0.0,0.0,4.887674681697991,0.0,0.0,0
5,1.2,2.0917258487140677,0.47833333333333333,0.00022692112324674977,0.9763026042757506,0.5343959896393424,0.0,0.0,1.5504071873274745,0.0,0.0,0
5,1.35,0.7496093522288579,0.7766666666666666,0.00025183831977573573,0.9731232164850305,0.533791522463486,0.0,0.0,0.736387650207526,0.0,0.0,0
5,1.5,2.8294745295009336,0.515,0.00034222362877338476,0.964184606143164,0.5311848397853647,0.0,0.0,3.325518443939436,0.0,0.0,0
5,1.65,11.340796370962916,0.5216666666666666,0.0005326591131261598,0.9605936492235063,0.5270074555756304,0.0005416666666666666,0.0,12.29464754903317,0.0,0.0,0
5,1.7999999999999998,31.27245386233542,0.5216666666666666,0.0008813703903385216,0.9504698264778682,0.5223698819647989,0.10110416666666666,0.0,32.61807672757647,0.0,0.0,0
5,1.9500000000000002,66.30206403810479,0.5216666666666666,0.001430352420000568,0.9377588688804269,0.5186238185573117,0.116375,0.0,68.17140236740065,0.0,0.0,0
5,2.1,112.66586622695158,0.5216666666666666,0.0021300029654710445,0.9318245834357799,0.5161944281429469,0.11754166666666667,0.0,115.48008740083033,0.0,0.0,0
5,2.25,160.8060133152705,0.5216666666666666,0.0028567208276175362,0.9175034410173473,0.5151334463223013,0.11858333333333333,0.0,164.86593012271535,0.0,0.0,0
5,2.4,203.76207573171223,0.5216666666666666,0.0035191817146351632,0.8948421463807026,0.5175145197260302,0.2455,0.0,209.02482036804915,0.0,0.0,0
6,0.9,2.650936973215807,0.47833333333333333,0.000335276418928196,0.9767954513481353,0.5404709312034395,0.0,0.0,2.0108052642938317,0.0,0.0,0
6,1.05,1.9175307178737349,0.47833333333333333,0.0002966853864619476,0.9705705984672636,0.548084517664246,0.0,0.0,1.432931625844698,0.0,0.0,0
6,1.2,1.502609241507892,0.47833333333333333,0.0003241304189633013,0.9599945009055123,0.5547578853005335,0.0,0.0,1.1289141988274247,0.0,0.0,0
6,1.35,1.2021084264352135,0.5176666666666667,0.00038878436485853134,0.9500538529101373,0.5593918952812438,0.0,0.0,0.9248724938929569,0.0,0.0,0
6,1.5,0.951793717383414,0.664,0.0004844988215584033,0.9302413765900635,0.5615230743669497,0.0,0.0,0.77201090744293,0.0,0.0,0
6,1.65,0.7856218689293158,0.7856666666666666,0.0006150326922789706,0.9084895813166309,0.5614112549856902,0.0,0.0,0.7059685526982347,0.0,0.0,0
