scenario,person,seed,arm,tracking_mse,accuracy,rate_error,entropy,spectral_entropy,saturation_fraction,control_energy,washout_mse,weight_change,washout_weight_change,cap_events
nominal,15,100,combined,81.67313306415876,0.579,0.0026386527349063897,0.9340731854446174,0.2749044142925336,0.08014583333333333,0.05036475332382137,0.6004343538436219,0.0,0.0,0
nominal,16,100,sham,48.979373593394236,0.421,0.0014478013173254815,0.9551279790944164,0.21501467784638706,0.057979166666666665,0.0,0.6491885380176065,0.0,0.0,0
nominal,16,100,fixed,45.29335500485817,0.42033333333333334,0.0014947615256401254,0.9581193856372305,0.22829104070986503,0.058458333333333334,0.04000000000000002,0.6493265293065588,0.0,0.0,0
nominal,16,100,rate,36.01347346997337,0.42133333333333334,0.0010851444112095752,0.9537401299492385,0.27810294592938234,0.057625,0.01417867863252336,0.6491885309966015,0.0,0.0,0
nominal,16,100,entropy,34.1043871955623,0.4266666666666667,0.0009736489843203978,0.9481767304130707,0.3335382313374016,0.056,0.05708035871617438,0.6491885010105929,0.0,0.0,0
nominal,16,100,combined,32.26483300166356,0.42133333333333334,0.0009639640693279663,0.9532880713896901,0.31232685659708104,0.05702083333333333,0.03188279611611671,0.6491885334295174,0.0,0.0,0
nominal,17,100,sham,70.78180674922267,0.579,0.005102903251314058,0.9142148914994412,0.1914557979376448,0.035916666666666666,0.0,0.8471611155841718,0.0,0.0,0
nominal,17,100,fixed,50.35466965539014,0.5783333333333334,0.004025251664881896,0.952892764829676,0.1880407782054018,0.13347916666666668,0.3599999999999999,2.0542922340350307,0.0,0.0,0
nominal,17,100,rate,45.42261136195795,0.579,0.0035114433836034506,0.9295920259097694,0.23450923134279575,0.018145833333333333,0.0443832603999982,0.8509367262204156,0.0,0.0,0
nominal,17,100,entropy,48.32790756338294,0.579,0.003748180215976592,0.9213868200572086,0.2478327310969375,0.0271875,0.04768660550661576,0.8471617933194071,0.0,0.0,0
nominal,17,100,combined,43.18949612775412,0.579,0.0033988336083375058,0.9237195949586817,0.25823210636159877,0.022083333333333333,0.06497142539645526,0.8505649390020108,0.0,0.0,0
nominal,18,100,sham,175.08511176881458,0.5793333333333334,0.0034951139076763206,0.964740919941589,0.1831703489611364,0.007479166666666667,0.0,0.6874495019485105,0.0,0.0,0
nominal,18,100,fixed,100.78655401392827,0.5783333333333334,0.0022982274652182675,0.9742122410573189,0.19080661814386202,0.09025,0.3599999999999999,2.741357114391339,0.0,0.0,0
nominal,18,100,rate,115.56412706212926,0.579,0.002481131952027502,0.9646331258783062,0.21705091989531805,0.008333333333333333,0.032557197348493105,0.6877659515315949,0.0,0.0,0
