person,rep,original,surrogate
4,9,0.9800967539263022,0.8754310360341838
4,10,0.9800967539263022,0.8724098801968846
4,11,0.9800967539263022,0.8829602745977781
4,12,0.9800967539263022,0.8864589758737773
4,13,0.9800967539263022,0.8790509465118391
4,14,0.9800967539263022,0.8753690243763939
4,15,0.9800967539263022,0.8774042649889294
4,16,0.9800967539263022,0.8821899560883988
4,17,0.9800967539263022,0.8759470727442725
4,18,0.9800967539263022,0.8768678355744889
4,19,0.9800967539263022,0.8796236218325831
4,20,0.9800967539263022,0.882605217474799
4,21,0.9800967539263022,0.882417105179977
4,22,0.9800967539263022,0.868729297196076
4,23,0.9800967539263022,0.8836152164508396
4,24,0.9800967539263022,0.8788473160680776
4,25,0.9800967539263022,0.8876839526992898
4,26,0.9800967539263022,0.8741295049679058
4,27,0.9800967539263022,0.8751389005587182
4,28,0.9800967539263022,0.880090853115503
4,29,0.9800967539263022,0.8892120595161176
4,30,0.9800967539263022,0.8809629732766614
4,31,0.9800967539263022,0.8840858150538015
4,32,0.9800967539263022,0.8755808179370939
4,33,0.9800967539263022,0.8703764897634907
4,34,0.9800967539263022,0.8715912152692701
4,35,0.9800967539263022,0.8803233015157189
4,36,0.9800967539263022,0.8885177304188986
4,37,0.9800967539263022,0.8835314222631805
4,38,0.9800967539263022,0.8734635205092739
4,39,0.9800967539263022,0.8814973437046685
5,0,0.984671867767218,0.8836579086540218
5,1,0.984671867767218,0.8791764834750555
5,2,0.984671867767218,0.8838925348693585
5,3,0.984671867767218,0.8818893668014762
5,4,0.984671867767218,0.8775929860473614
5,5,0.984671867767218,0.8689028067487675
5,6,0.984671867767218,0.8759403698942276
5,7,0.984671867767218,0.8797652008805359
5,8,0.984671867767218,0.878281033030253
5,9,0.984671867767218,0.8799601304846724
5,10,0.984671867767218,0.8739029641534464
5,11,0.984671867767218,0.865045379900561
5,12,0.984671867767218,0.8759863190159649
5,13,0.984671867767218,0.8778304157822991
5,14,0.984671867767218,0.8845588293651495
5,15,0.984671867767218,0.8692008581006307
5,16,0.984671867767218,0.8698277758078035
5,17,0.984671867767218,0.8749071487308021
5,18,0.984671867767218,0.8782205438448945
5,19,0.984671867767218,0.8697758359719762
5,20,0.984671867767218,0.8806247824642008
5,21,0.984671867767218,0.8732257190136159
5,22,0.984671867767218,0.8778248129574736
5,23,0.984671867767218,0.8762393384209749
5,24,0.984671867767218,0.8844104264382514
5,25,0.984671867767218,0.8758677606016579
5,26,0.984671867767218,0.875977564659805
5,27,0.984671867767218,0.868089560863264
5,28,0.984671867767218,0.8879987367148392
5,29,0.984671867767218,0.8833422248481695
5,30,0.984671867767218,0.8865234755076994
5,31,0.984671867767218,0.8667025651972289
5,32,0.984671867767218,0.888297867350059
5,33,0.984671867767218,0.879652425974712
5,34,0.984671867767218,0.8718957294184694
5,35,0.984671867767218,0.8744037155700751
5,36,0.984671867767218,0.8828919138724873
5,37,0.984671867767218,0.892936025951759
5,38,0.984671867767218,0.8764365604896789
5,39,0.984671867767218,0.8886644472767184
6,0,0.9401054619910526,0.8263674566486762
6,1,0.9401054619910526,0.8273761570645157
6,2,0.9401054619910526,0.8181215741775207
6,3,0.9401054619910526,0.82931516223496
6,4,0.9401054619910526,0.8159909945913081
6,5,0.9401054619910526,0.8253881591202631
6,6,0.9401054619910526,0.8213189387895841
6,7,0.9401054619910526,0.8311173814156075
6,8,0.9401054619910526,0.8297550065186718
6,9,0.9401054619910526,0.8370908983882779
6,10,0.9401054619910526,0.8302521943280732
6,11,0.9401054619910526,0.8350046410149835
6,12,0.9401054619910526,0.8377274631142044
6,13,0.9401054619910526,0.8414105027811244
6,14,0.9401054619910526,0.8273135783275447
6,15,0.9401054619910526,0.8201695861188978
6,16,0.9401054619910526,0.8277363457834804
6,17,0.9401054619910526,0.8357306569737327
6,18,0.9401054619910526,0.8257815049793956
6,19,0.9401054619910526,0.8310076169766066
6,20,0.9401054619910526,0.819887673841029
6,21,0.9401054619910526,0.8273678314979231
6,22,0.9401054619910526,0.8285640568044551
6,23,0.9401054619910526,0.8317802289063692
6,24,0.9401054619910526,0.8212560565330117
6,25,0.9401054619910526,0.8081289814621142
6,26,0.9401054619910526,0.8420326087213087
6,27,0.9401054619910526,0.8173397649067399
6,28,0.9401054619910526,0.8274132473690018
6,29,0.9401054619910526,0.8223785432245475
6,30,0.9401054619910526,0.8307347541548024
6,31,0.9401054619910526,0.8319421270552483
6,32,0.9401054619910526,0.8208721759723031
6,33,0.9401054619910526,0.8203198373163124
6,34,0.9401054619910526,0.8318450562662012
6,35,0.9401054619910526,0.8316799260860384
6,36,0.9401054619910526,0.8267430421992216
6,37,0.9401054619910526,0.8359513749773351
6,38,0.9401054619910526,0.827037684281524
6,39,0.9401054619910526,0.8350387644027497
7,0,0.9858837650452685,0.8753791570651631
7,1,0.9858837650452685,0.8816105980645236
7,2,0.9858837650452685,0.8825559823145178
7,3,0.9858837650452685,0.8851641841257789
7,4,0.9858837650452685,0.8805235798649216
7,5,0.9858837650452685,0.8932611123852595
7,6,0.9858837650452685,0.8713939088967105
7,7,0.9858837650452685,0.8743540846987684
7,8,0.9858837650452685,0.87998920433229
7,9,0.9858837650452685,0.8766839373878607
